keyword,priority_score,content_type,difficulty,search_intent,word_count,estimated_competition,content_potential,processed_date
linux tutorials for beginners,100.0,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:44
as400 basic commands,100.0,reference,beginner,high_intent,3,low,excellent,2025-08-08 10:03:45
as400 tutorial for beginners,100.0,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:45
operating systems basics tutorial,96.74698078401254,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:45
linux commands for beginners,94.5662720452242,reference,beginner,high_intent,4,low,excellent,2025-08-08 10:03:44
linux basic commands,93.02466118181037,reference,beginner,high_intent,3,low,excellent,2025-08-08 10:03:44
linux learning for beginners,79.2548212494057,general,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:44
linux for beginners,74.04437820082859,general,beginner,informational,3,medium,excellent,2025-08-08 10:03:44
operating systems fundamentals,73.64613821346488,general,beginner,informational,3,medium,excellent,2025-08-08 10:03:45
linux basic interview questions,73.50383912851349,general,beginner,informational,4,medium,excellent,2025-08-08 10:03:44
operating systems basics cisco,73.32699779433982,general,beginner,informational,4,medium,excellent,2025-08-08 10:03:45
as400 beginners video,72.75914712034199,general,beginner,informational,3,medium,excellent,2025-08-08 10:03:45
operating systems basic concepts,72.49854631140482,general,beginner,informational,4,medium,excellent,2025-08-08 10:03:45
linux fundamentals,72.17045911088633,general,beginner,informational,2,medium,excellent,2025-08-08 10:03:44
android basics with compose,71.33846307358726,general,beginner,informational,4,medium,excellent,2025-08-08 10:03:44
linux basics,71.16288267316334,general,beginner,informational,2,medium,excellent,2025-08-08 10:03:44
as400 basics for beginners,69.72590277965284,general,beginner,informational,4,medium,good,2025-08-08 10:03:45
as400 for beginners,69.68715769516105,general,beginner,informational,3,medium,good,2025-08-08 10:03:45
operating systems basics,69.00268245714751,general,beginner,informational,3,medium,good,2025-08-08 10:03:45
linux basics for beginners,68.31456262522737,general,beginner,informational,4,medium,good,2025-08-08 10:03:44
android basics,68.0689076378248,general,beginner,informational,2,medium,good,2025-08-08 10:03:44
operating systems introduction,66.71558009132478,general,beginner,informational,3,medium,good,2025-08-08 10:03:45
as400 basic interview questions,65.84572295297276,general,beginner,informational,4,medium,good,2025-08-08 10:03:45
linux basics for hackers,65.4904605644362,general,beginner,informational,4,medium,good,2025-08-08 10:03:44
as400 system basics,64.04068969716916,general,beginner,informational,3,medium,good,2025-08-08 10:03:45
linux introduction,61.634589444672635,general,beginner,informational,2,medium,good,2025-08-08 10:03:44
as400 basics,61.441213083865996,general,beginner,informational,2,medium,good,2025-08-08 10:03:45
operating systems basics cisco pdf,52.836407286237836,general,beginner,informational,5,medium,good,2025-08-08 10:03:45
linux basics for hackers pdf,50.35531012150835,general,beginner,informational,5,medium,good,2025-08-08 10:03:44
is netbsd good for beginners,49.415289201476504,general,beginner,informational,5,medium,fair,2025-08-08 10:03:45
operating systems basics cisco answers,47.4593267681462,general,beginner,informational,5,medium,fair,2025-08-08 10:03:45
operating systems basics final exam,42.667344376748936,general,beginner,informational,5,medium,fair,2025-08-08 10:03:45
