keyword,priority_score,content_type,difficulty,search_intent,word_count,estimated_competition,content_potential,processed_date
freebsd jail vs docker,100.0,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd xen vs bhyve,97.57596247474616,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd vs openbsd,95.36951471588387,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vs linux,95.2583142798163,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
solaris gtr vst free,94.5646735805572,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd zfs vs ufs,93.46350321040771,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd vs debian,92.38807436491129,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vs windows,91.23415218625425,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vscode,90.42066964126887,comparison,medium,high_intent,2,medium,excellent,2025-08-08 10:03:45
freebsd vs ghostbsd,89.96345892417158,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vs arch,89.51936836153335,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
as400 vs mainframe,86.74045787063109,comparison,medium,informational,3,medium,excellent,2025-08-08 10:03:45
netbsd vs freebsd,86.37681067215476,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:46
freebsd vs netbsd,86.18669015640121,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
aix vs linux,85.95044877535227,comparison,medium,informational,3,medium,excellent,2025-08-08 10:03:45
freebsd xorg vs wayland,85.48423572597427,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd vs ubuntu,85.13926026740546,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vs unix,85.12783138724187,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vs solaris,85.1163169099797,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
