keyword,priority_score,content_type,difficulty,search_intent,word_count,estimated_competition,content_potential,processed_date
linux tutorials for beginners,100.0,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:44
as400 basic commands,100.0,reference,beginner,high_intent,3,low,excellent,2025-08-08 10:03:45
as400 tutorial for beginners,100.0,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd how to jail,100.0,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd jail vs docker,100.0,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd jails tutorial,100.0,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd xen vs bhyve,97.57596247474616,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd how to mount,96.91497692655872,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
aix commands list,96.80219812867173,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
operating systems basics tutorial,96.74698078401254,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd how to use,96.48749974758046,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd vs openbsd,95.36951471588387,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd vs linux,95.2583142798163,comparison,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
windows live mail download,94.72115921307632,general,medium,high_intent,4,medium,excellent,2025-08-08 10:03:44
freebsd jail network,94.69126649922666,general,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
linux commands for beginners,94.5662720452242,reference,beginner,high_intent,4,low,excellent,2025-08-08 10:03:44
solaris gtr vst free,94.5646735805572,comparison,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd mailing lists,94.35796017353401,general,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
ios jailbreak guide,94.10958074187519,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:44
