keyword,priority_score,content_type,difficulty,search_intent,word_count,estimated_competition,content_potential,processed_date
freebsd error updating repositories,86.7253688180396,general,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
operating systems problems,77.84405412542411,general,expert,informational,3,medium,excellent,2025-08-08 10:03:45
aix fix central,77.68076905852749,general,medium,informational,3,medium,excellent,2025-08-08 10:03:45
ios yahoo mail problem,74.37558534702976,general,medium,informational,4,medium,excellent,2025-08-08 10:03:45
windows troubleshooter,68.89363820330789,general,medium,informational,2,low,good,2025-08-08 10:03:44
windows update troubleshooter,68.48319297228468,general,medium,informational,3,low,good,2025-08-08 10:03:44
osx wireless camera troubleshooting,67.39285975430357,general,medium,informational,4,low,good,2025-08-08 10:03:45
windows error,66.47378761475409,general,medium,informational,2,low,good,2025-08-08 10:03:44
ios onedrive troubleshooting,65.71188324230971,general,medium,informational,3,low,good,2025-08-08 10:03:44
as400 error codes,65.50146980435849,general,medium,informational,3,low,good,2025-08-08 10:03:45
windows error codes,64.14713004308867,general,medium,informational,3,low,good,2025-08-08 10:03:44
osx nvr troubleshooting,63.24273057446548,general,medium,informational,3,low,good,2025-08-08 10:03:45
ios problems,62.77364476815129,general,medium,informational,2,medium,good,2025-08-08 10:03:44
ios update 18.1.1 problems,62.610772312638716,general,medium,informational,4,medium,good,2025-08-08 10:03:44
as400 error 3401,62.56156701018403,general,medium,informational,3,low,good,2025-08-08 10:03:45
windows xp error,61.50496740827193,general,medium,informational,3,low,good,2025-08-08 10:03:44
windows error sound,60.26958338291914,general,medium,informational,3,low,good,2025-08-08 10:03:44
osx troubleshooting,59.8041897730199,general,medium,informational,2,low,good,2025-08-08 10:03:45
linux error,59.41015526732079,general,medium,informational,2,low,good,2025-08-08 10:03:44
ios update problems,59.17796237958972,general,medium,informational,3,medium,good,2025-08-08 10:03:44
windows update error,59.0452474817041,general,medium,informational,3,low,good,2025-08-08 10:03:44
windows network troubleshooter,58.70494402312305,general,medium,informational,3,low,good,2025-08-08 10:03:44
android update problems,58.64407896175206,general,medium,informational,3,medium,good,2025-08-08 10:03:44
windows blue screen error,57.602771717994045,general,medium,informational,4,low,good,2025-08-08 10:03:44
linux error codes,56.99252154318941,general,medium,informational,3,low,good,2025-08-08 10:03:44
operating systems dining philosophers problem,46.11378587679727,general,expert,informational,5,medium,fair,2025-08-08 10:03:45
windows your device ran into a problem,35.288390846991234,general,medium,informational,7,medium,fair,2025-08-08 10:03:44
