keyword,priority_score,content_type,difficulty,search_intent,word_count,estimated_competition,content_potential,processed_date
as400 basic commands,100.0,reference,beginner,high_intent,3,low,excellent,2025-08-08 10:03:45
aix commands list,96.80219812867173,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
linux commands for beginners,94.5662720452242,reference,beginner,high_intent,4,low,excellent,2025-08-08 10:03:44
aix powermt commands,93.51934383773767,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
linux basic commands,93.02466118181037,reference,beginner,high_intent,3,low,excellent,2025-08-08 10:03:44
aix commands,92.07887699868499,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:45
aix network commands,90.38941829120705,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
freebsd commands cheat sheet,90.24416408987918,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
freebsd watch command,90.05699019707004,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
windows terminal download,87.39494108372772,reference,medium,high_intent,3,medium,excellent,2025-08-08 10:03:44
aix kdb commands,87.24035105649315,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
aix vi editor commands,87.02821517909577,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
aix os commands,86.6409213475239,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
linux terminal download,85.78197602078981,reference,medium,high_intent,3,medium,excellent,2025-08-08 10:03:44
freebsd commands,85.4540604866776,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:45
aix find command example,85.14564022891287,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
aix useradd command,82.38133785546155,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
freebsd lrz command,82.322836120707,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
freebsd service command,81.94971246660397,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
aix shutdown command,81.38249930004267,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix mount command,80.92391482286142,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix kill command,80.50603081692863,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
linux vi commands,79.40634980061259,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
aix wc command,79.26847219096453,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix unzip command,79.18858657685358,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
freebsd command line,79.1761767603482,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
windows command prompt commands,79.16412882783871,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:44
aix version command,79.08919792147631,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
windows quick key commands,79.00962134260105,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:44
hp-ux commands,78.75233618716473,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:45
macos terminal commands,78.73270529219803,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
freebsd route command,78.71619982678975,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
aix os version command,78.68514691661528,reference,medium,informational,4,low,excellent,2025-08-08 10:03:45
linux commands pdf,78.42936564807806,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
linux operating system commands,78.33287954466128,reference,expert,high_intent,4,low,excellent,2025-08-08 10:03:44
aix tls command,78.27834385236638,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix disk space command,78.14390773714777,reference,medium,informational,4,low,excellent,2025-08-08 10:03:45
freebsd shutdown command,78.074333833986,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
windows repair command,78.05023750292622,reference,medium,informational,3,low,excellent,2025-08-08 10:03:44
freebsd reboot command,78.00915627471021,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
linux bash commands,77.96957331861198,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
freebsd update command,77.82922542110707,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
aix watch command,77.75068458686856,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
hp-ux commands cheat sheet,77.47757798990956,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:46
as400 commands,77.47275298623023,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:45
as400 navigation commands,77.40243611233284,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
freebsd top command,77.13443564981603,reference,medium,high_intent,3,high,excellent,2025-08-08 10:03:45
freebsd terminal,77.09407912682727,reference,medium,high_intent,2,medium,excellent,2025-08-08 10:03:45
aix nohup command,77.02779920955676,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix command cheat sheet,76.9346749040572,reference,medium,informational,4,low,excellent,2025-08-08 10:03:45
as400 commands cheat sheet,76.89829111656508,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
aix df command,76.69000859514253,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
linux networking commands,76.6198453189169,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
hpux top command,76.56701606452548,reference,medium,high_intent,3,high,excellent,2025-08-08 10:03:45
aix hostname command,76.40098334996105,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
as400 ifs commands,76.0290420055249,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
hpux efi shell commands,75.49590249575697,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
aix grep command,75.40508272341299,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
hp-ux performance monitoring commands,75.3166619557336,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:46
linux unix commands,75.07200469186967,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
aix netstat command,75.01599793435076,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix du command,74.82090983351728,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
linux networking commands pdf,74.81764459799206,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:44
hp-ux performance monitoring commands,74.74259436638516,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
as400 library list command,74.54601614169191,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
macos commands,74.32841103731346,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:44
linux commands w3schools,74.26565493004121,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
linux tail command,74.2378550368974,reference,medium,informational,3,low,excellent,2025-08-08 10:03:44
linux ubuntu commands,74.15571454880177,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
hp-ux dd command example,73.77746077389932,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
aix nfs mount command example,73.66493387105655,reference,medium,high_intent,5,low,excellent,2025-08-08 10:03:45
openbsd commands,73.12287256133337,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:45
as400 email command,72.90732165191518,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix zip command,72.85136319891474,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
aix reboot command,72.36697272685376,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
osx terminal command list,72.33575747836734,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:45
as400 qshell commands,72.33421791516942,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:45
aix find command,72.04501172513396,reference,medium,informational,3,low,excellent,2025-08-08 10:03:45
windows run commands,71.4160797630677,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
windows keyboard commands,71.27660027391804,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
windows powershell commands,70.93305164686389,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
windows commands,70.85190045475298,reference,medium,high_intent,2,low,excellent,2025-08-08 10:03:44
windows terminal commands,70.55015234946286,reference,medium,high_intent,3,low,excellent,2025-08-08 10:03:44
linux commands cheat sheet,70.32837128992539,reference,medium,high_intent,4,low,excellent,2025-08-08 10:03:44
as400 robot scheduler commands,69.74756844917616,reference,medium,high_intent,4,low,good,2025-08-08 10:03:45
linux all commands,69.73309007466715,reference,medium,high_intent,3,low,good,2025-08-08 10:03:44
linux commands list,69.54034973904423,reference,medium,high_intent,3,low,good,2025-08-08 10:03:44
as400 create command example,68.97908588255395,reference,medium,high_intent,4,low,good,2025-08-08 10:03:45
hpux commands,68.90928035580615,reference,medium,high_intent,2,low,good,2025-08-08 10:03:45
windows r commands,68.54346763206439,reference,medium,high_intent,3,low,good,2025-08-08 10:03:44
linux vim commands,68.53540987723258,reference,medium,high_intent,3,low,good,2025-08-08 10:03:44
