keyword,priority_score,content_type,difficulty,search_intent,word_count,estimated_competition,content_potential,processed_date
linux tutorials for beginners,100.0,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:44
as400 tutorial for beginners,100.0,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd how to jail,100.0,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd jails tutorial,100.0,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd how to mount,96.91497692655872,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
operating systems basics tutorial,96.74698078401254,tutorial,beginner,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd how to use,96.48749974758046,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
ios jailbreak guide,94.10958074187519,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:44
freebsd installation guide,92.56927458127912,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd samba tutorial,91.46530435642298,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd show routes,91.34637660741262,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
as400 mainframe tutorial,90.59045521553726,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd how to update,88.40559097163047,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
aix tutorial,88.22331686352618,tutorial,medium,high_intent,2,medium,excellent,2025-08-08 10:03:45
operating systems tutorialspoint,88.18099306915154,tutorial,expert,high_intent,3,medium,excellent,2025-08-08 10:03:45
as400 system tutorial,88.16934721766825,tutorial,expert,high_intent,3,medium,excellent,2025-08-08 10:03:45
freebsd how to ssh,86.40157618691441,tutorial,medium,high_intent,4,medium,excellent,2025-08-08 10:03:45
freebsd guide,86.36532264831771,tutorial,medium,high_intent,2,medium,excellent,2025-08-08 10:03:45
freebsd tutorials,84.83838528873953,tutorial,medium,high_intent,2,medium,excellent,2025-08-08 10:03:45
openbsd how to,84.76244745221221,tutorial,medium,high_intent,3,medium,excellent,2025-08-08 10:03:45
